Modo,Instância,hms,par,OFV,Status
ajuste,a/instance_0010.txt,50,0.9,3.3095238095238093,OK
ajuste,b/instance_0010.txt,10,0.1,8.25503355704698,OK
ajuste,b/instance_0010.txt,10,0.3,8.25503355704698,OK
ajuste,b/instance_0010.txt,10,0.5,8.25503355704698,OK
ajuste,b/instance_0010.txt,10,0.7,8.25503355704698,OK
ajuste,b/instance_0010.txt,10,0.9,8.25503355704698,OK
ajuste,b/instance_0010.txt,20,0.1,8.25503355704698,OK
ajuste,b/instance_0010.txt,20,0.3,8.25503355704698,OK
ajuste,b/instance_0010.txt,20,0.5,8.25503355704698,OK
ajuste,b/instance_0010.txt,20,0.7,8.25503355704698,OK
ajuste,b/instance_0010.txt,20,0.9,8.25503355704698,OK
ajuste,b/instance_0010.txt,30,0.1,8.25503355704698,OK
ajuste,b/instance_0010.txt,30,0.3,8.25503355704698,OK
ajuste,b/instance_0010.txt,30,0.5,8.25503355704698,OK
ajuste,b/instance_0010.txt,30,0.7,8.25503355704698,OK
ajuste,b/instance_0010.txt,30,0.9,8.25503355704698,OK
ajuste,b/instance_0010.txt,40,0.1,8.25503355704698,OK
ajuste,b/instance_0010.txt,40,0.3,8.25503355704698,OK
ajuste,b/instance_0010.txt,40,0.5,8.25503355704698,OK
ajuste,b/instance_0010.txt,40,0.7,8.25503355704698,OK
ajuste,b/instance_0010.txt,40,0.9,8.25503355704698,OK
ajuste,b/instance_0010.txt,50,0.1,8.25503355704698,OK
ajuste,b/instance_0010.txt,50,0.3,8.25503355704698,OK
ajuste,b/instance_0010.txt,50,0.5,8.25503355704698,OK
ajuste,b/instance_0010.txt,50,0.7,8.25503355704698,OK
ajuste,b/instance_0010.txt,50,0.9,8.25503355704698,OK
ajuste,a/instance_0015.txt,10,0.1,5.594202898550725,OK
ajuste,a/instance_0015.txt,10,0.3,5.594202898550725,OK
ajuste,a/instance_0015.txt,10,0.5,5.594202898550725,OK
ajuste,a/instance_0015.txt,10,0.7,5.594202898550725,OK
ajuste,a/instance_0015.txt,10,0.9,5.594202898550725,OK
ajuste,a/instance_0015.txt,20,0.1,5.594202898550725,OK
ajuste,a/instance_0015.txt,20,0.3,5.594202898550725,OK
ajuste,a/instance_0015.txt,20,0.5,5.594202898550725,OK
ajuste,a/instance_0015.txt,20,0.7,5.594202898550725,OK
ajuste,a/instance_0015.txt,20,0.9,5.594202898550725,OK
ajuste,a/instance_0015.txt,30,0.1,5.594202898550725,OK
ajuste,a/instance_0015.txt,30,0.3,5.594202898550725,OK
ajuste,a/instance_0015.txt,30,0.5,5.594202898550725,OK
ajuste,a/instance_0015.txt,30,0.7,5.594202898550725,OK
ajuste,a/instance_0015.txt,30,0.9,5.594202898550725,OK
ajuste,a/instance_0015.txt,40,0.1,5.594202898550725,OK
ajuste,a/instance_0015.txt,40,0.3,5.594202898550725,OK
ajuste,a/instance_0015.txt,40,0.5,5.594202898550725,OK
ajuste,a/instance_0015.txt,40,0.7,5.594202898550725,OK
ajuste,a/instance_0015.txt,40,0.9,5.594202898550725,OK
ajuste,a/instance_0015.txt,50,0.1,5.594202898550725,OK
ajuste,a/instance_0015.txt,50,0.3,5.594202898550725,OK
ajuste,a/instance_0015.txt,50,0.5,5.594202898550725,OK
ajuste,a/instance_0015.txt,50,0.7,5.594202898550725,OK
ajuste,a/instance_0015.txt,50,0.9,5.594202898550725,OK
ajuste,b/instance_0015.txt,10,0.1,9.847457627118644,OK
ajuste,b/instance_0015.txt,10,0.3,9.847457627118644,OK
ajuste,b/instance_0015.txt,10,0.5,9.847457627118644,OK
ajuste,b/instance_0015.txt,10,0.7,9.847457627118644,OK
ajuste,b/instance_0015.txt,10,0.9,9.847457627118644,OK
ajuste,b/instance_0015.txt,20,0.1,9.847457627118644,OK
ajuste,b/instance_0015.txt,20,0.3,9.847457627118644,OK
ajuste,b/instance_0015.txt,20,0.5,9.847457627118644,OK
ajuste,b/instance_0015.txt,20,0.7,9.847457627118644,OK
ajuste,b/instance_0015.txt,20,0.9,9.847457627118644,OK
ajuste,b/instance_0015.txt,30,0.1,9.847457627118644,OK
ajuste,b/instance_0015.txt,30,0.3,9.847457627118644,OK
ajuste,b/instance_0015.txt,30,0.5,9.847457627118644,OK
ajuste,b/instance_0015.txt,30,0.7,9.847457627118644,OK
ajuste,b/instance_0015.txt,30,0.9,9.847457627118644,OK
ajuste,b/instance_0015.txt,40,0.1,9.847457627118644,OK
ajuste,b/instance_0015.txt,40,0.3,9.847457627118644,OK
ajuste,b/instance_0015.txt,40,0.5,9.847457627118644,OK
ajuste,b/instance_0015.txt,40,0.7,9.847457627118644,OK
ajuste,b/instance_0015.txt,40,0.9,9.847457627118644,OK
ajuste,b/instance_0015.txt,50,0.1,9.847457627118644,OK
ajuste,b/instance_0015.txt,50,0.3,9.847457627118644,OK
ajuste,b/instance_0015.txt,50,0.5,9.847457627118644,OK
ajuste,b/instance_0015.txt,50,0.7,9.847457627118644,OK
ajuste,b/instance_0015.txt,50,0.9,9.847457627118644,OK
