Modo,Instância,hms,par,OFV,Status
ajuste,b/instance_0005.txt,30,0.3,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,30,0.5,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,30,0.7,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,30,0.9,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,40,0.1,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,40,0.3,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,40,0.5,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,40,0.7,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,40,0.9,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,50,0.1,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,50,0.3,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,50,0.5,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,50,0.7,N/A,Timeout após 60s
ajuste,b/instance_0005.txt,50,0.9,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,10,0.1,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,10,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.7,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.9,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.1,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,20,0.3,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,20,0.5,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,20,0.7,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,20,0.9,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,30,0.1,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,30,0.3,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,30,0.5,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,30,0.7,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,30,0.9,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,40,0.1,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,40,0.3,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,40,0.5,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,40,0.7,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,40,0.9,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,50,0.1,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,50,0.3,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,50,0.5,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,50,0.7,N/A,Timeout após 60s
ajuste,a/instance_0010.txt,50,0.9,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,10,0.1,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,10,0.3,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,10,0.5,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,10,0.7,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,10,0.9,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,20,0.1,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,20,0.3,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,20,0.5,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,20,0.7,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,20,0.9,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,30,0.1,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,30,0.3,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,30,0.5,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,30,0.7,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,30,0.9,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,40,0.1,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,40,0.3,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,40,0.5,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,40,0.7,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,40,0.9,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,50,0.1,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,50,0.3,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,50,0.5,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,50,0.7,N/A,Timeout após 60s
ajuste,b/instance_0010.txt,50,0.9,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,10,0.1,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,10,0.3,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,10,0.5,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,10,0.7,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,10,0.9,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,20,0.1,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,20,0.3,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,20,0.5,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,20,0.7,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,20,0.9,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,30,0.1,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,30,0.3,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,30,0.5,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,30,0.7,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,30,0.9,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,40,0.1,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,40,0.3,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,40,0.5,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,40,0.7,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,40,0.9,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,50,0.1,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,50,0.3,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,50,0.5,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,50,0.7,N/A,Timeout após 60s
ajuste,a/instance_0015.txt,50,0.9,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,10,0.1,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,10,0.3,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,10,0.5,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,10,0.7,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,10,0.9,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,20,0.1,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,20,0.3,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,20,0.5,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,20,0.7,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,20,0.9,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,30,0.1,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,30,0.3,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,30,0.5,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,30,0.7,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,30,0.9,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,40,0.1,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,40,0.3,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,40,0.5,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,40,0.7,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,40,0.9,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,50,0.1,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,50,0.3,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,50,0.5,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,50,0.7,N/A,Timeout após 60s
ajuste,b/instance_0015.txt,50,0.9,N/A,Timeout após 60s
